Year,Q1_GDP_Growth,Q2_GDP_Growth,Incumbent_Net_Approval,Incumbent_Party_Two_Terms,IncumbentVoteShare
2012,2,1.3,-0.8,0,51.1
2008,-1.8,1.3,-37,1,46.3
2004,2.7,2.6,-0.5,0,51.2
2000,1.1,8,19.5,1,50.3
1996,2.8,7.1,15.5,0,54.7
1992,4.5,4.3,-18,1,46.5
1988,2.1,5.2,10,1,53.9
1984,8,7.1,20,0,59.2
1980,1.3,-7.9,-21.7,0,44.7
1976,9.4,3,5,1,48.9
1972,7.3,9.8,26,0,61.8
1968,8.5,7,-5,1,49.6
1964,9.3,4.7,60.3,0,61.3
1960,9.3,-1.9,37,1,49.9
1956,-1.8,3.2,53.5,0,57.8
1952,4.1,0.4,-27,1,44.5
1948,6.5,7.5,-6,1,52.4